time	manip	gran	press	averat	laba	proba	StZn
166	26	12	12	7	24	100000	99976	
167	26	12	12	7	24	100000	99976	
168	26	12	12	7	24	100000	99976	
169	23	12	12	7	24	100000	99976	
170	23	12	12	7	24	100000	99976	
171	23	12	12	7	24	100000	99976	
172	23	12	12	-7	24	100000	99976	
173	20	12	12	-7	24	100000	99976	
174	20	12	12	-7	24	100000	99976	
175	20	12	12	-7	24	100000	99976	
176	20	-2	12	-7	24	100000	99976	
177	20	-2	12	-7	24	100000	99976	
178	20	-2	12	-7	24	100000	99976	
179	20	-2	12	-7	24	100000	99976	
180	20	-2	12	-7	24	100000	99976	
181	18	-2	12	-7	24	100000	99976	
182	18	-2	12	20	24	100000	99976	
183	18	-2	12	20	24	100000	99976	
184	18	-2	12	20	24	100000	99976	
185	15	40	12	20	24	100000	99976	
186	15	40	12	20	24	100000	99976	
187	15	40	12	20	24	100000	99976	
188	12	40	12	20	24	100000	99976	
189	12	40	12	20	24	100000	99976	
190	12	40	12	20	24	100000	99976	
191	12	40	12	20	24	100000	99976	
192	12	40	12	20	24	100000	99976	
193	12	40	12	20	24	100000	99976	
194	12	40	12	20	24	100000	99976	
195	12	40	12	20	24	100000	99976	
196	9	40	12	1	24	100000	99976	
197	9	40	12	1	24	100000	99976	
198	7	40	12	1	24	100000	99976	
199	7	40	12	1	24	100000	99970	
200	5	40	12	1	24	100000	99970	
201	5	40	12	1	24	100000	99970	
202	5	40	12	1	24	100000	99970	
203	5	40	12	1	24	100000	99970	
204	5	40	8	1	24	100000	99970	
205	0	40	8	1	24	100000	99970	
206	0	40	8	1	24	100000	99970	
207	0	40	8	1	24	100000	99970	
208	36	40	8	1	24	100000	99970	
209	36	40	8	1	24	100000	99970	
210	36	40	8	1	24	100000	99970	
211	33	40	8	1	24	100000	99970	
212	32	26	8	1	24	100000	99970	
213	32	26	8	1	24	100000	99970	
214	32	26	8	1	24	100000	99970	
215	32	26	8	1	24	100000	99970	
216	28	26	8	1	24	100000	99970	
217	28	26	8	1	24	100000	99970	
218	28	26	8	1	24	100000	99970	
219	28	26	8	1	24	100000	99970	
220	28	26	8	-11	24	100000	99970	
221	28	26	8	-11	24	100000	99970	
222	26	26	8	-11	24	100000	99970	
223	26	26	8	20	24	100000	99970	
224	26	26	8	20	24	100000	99970	
225	26	26	8	20	24	100000	99970	
226	23	26	8	20	24	100000	99970	
227	23	26	8	20	24	100000	99970	
228	23	26	8	20	24	100000	99970	
229	23	26	8	20	24	100000	99970	
230	20	26	8	11	24	100000	99970	
231	20	26	8	11	24	100000	99970	
232	20	26	8	11	24	100000	99970	
233	20	12	8	11	24	100000	99970	
234	20	12	8	11	24	100000	99970	
235	20	12	8	11	24	100000	99970	
236	20	12	8	11	24	100000	99970	
237	18	12	8	11	24	100000	99970	
238	18	12	8	11	24	100000	99970	
239	18	12	8	11	24	100000	99970	
240	15	12	8	11	24	100000	99970	
241	15	12	8	11	24	100000	99970	
242	15	12	8	11	24	100000	99970	
243	12	12	8	11	24	100000	99970	
244	12	12	8	11	24	100000	99970	
245	12	12	8	-4	24	100000	99970	
246	12	12	8	-4	24	100000	99970	
247	8	12	8	-4	24	100000	99970	
248	8	12	8	-4	24	100000	99970	
249	8	12	8	-4	24	100000	99970	
250	8	12	8	-4	24	100000	99970	
251	6	12	8	-4	24	100000	99970	
252	6	12	8	20	24	100000	99970	
253	6	12	8	20	24	100000	99970	
254	3	-2	8	20	24	100000	99970	
255	3	-2	8	20	24	100000	99970	
256	3	-2	8	20	24	100000	99970	
257	0	40	8	20	24	100000	99964	
258	0	40	8	20	24	100000	99964	
259	0	40	8	20	24	100000	99964	
260	36	40	8	20	24	100000	99964	
261	36	40	8	20	24	100000	99964	
262	36	40	8	20	24	100000	99964	
263	33	40	8	20	24	100000	99964	
264	33	40	8	20	24	100000	99964	
265	33	40	8	20	24	100000	99964	
266	33	40	8	20	24	100000	99964	
267	29	40	8	3	24	100000	99964	
268	29	40	8	3	24	100000	99964	
269	27	40	8	3	24	100000	99964	
270	27	40	8	3	24	100000	99964	
271	25	40	8	3	24	100000	99964	
272	25	40	8	3	24	100000	99964	
